place_id,name,duration,persons,on_car,budget,interest,with_pets,description
0,Kiyasovo_ecowalk,2,2,1,1,"Природа и активный отдых",1,"Экологический пешеходный маршрут в посёлке Киясово, Удмуртия. Бесплатный маршрут продолжительностью 24 часа подходит для спокойного изучения местной природы и экосистем. Разрешено посещение с детьми и домашними животными, маршрут проходит на открытом воздухе. Идеален для любителей экотуризма, фотографов природы и семейного отдыха на свежем воздухе. Координаты старта и финиша: 56.2038, 53.0721."
1,bright_colors_udm,4,2,0,3,"История и культура",0,"Культурный автобусный тур по Ижевску с акцентом на яркие краски удмуртского искусства и ремёсел. Стоимость 39 200 рублей, продолжительность — 120 часов, маршрут проходит в помещении. Подходит для посещения с детьми, но не предусматривает присутствие питомцев. Включает посещение музеев, галерей и мастер-классов по традиционным промыслам Удмуртии. Старт и финиш: 56.5059, 53.1216."
2,chaikovsky,2,2,1,1,"История и культура",0,"Исторический автобусный маршрут в Воткинске, посвящённый жизни и творчеству П.И. Чайковского. Стоимость 290 рублей, длительность — 24 часа, проводится в помещениях музеев и мемориальных объектов. Разрешено посещение с детьми, питомцы не допускаются. Маршрут охватывает ключевые исторические точки, связанные с композитором и культурным наследием города. Координаты: 57.0546, 54.0078."
3,diadem_kama,3,3,1,2,"История и культура",1,"Исторический автомобильный маршрут «Диадема Камы», соединяющий Воткинск и другие населённые пункты Удмуртии. Стоимость 4 650 рублей, продолжительность — 72 часа, проходит на открытом воздухе. Подходит для семей с детьми и путешественников с домашними животными. Маршрут включает посещение исторических усадеб, природных достопримечательностей и мест, связанных с историей Камского региона. Старт: 57.0546, 54.0078; финиш: 56.4666, 53.8001."
4,ecowalk_kok,2,2,1,1,"Природа и активный отдых",0,"Экологический пешеходный маршрут в посёлке Игра, Удмуртия. Стоимость 80 рублей, длительность — 24 часа, проходит на природе. Разрешено посещение с детьми, питомцы не допускаются. Маршрут знакомит с локальными экосистемами, флорой и фауной Удмуртии, подходит для образовательных прогулок и фотосъёмки. Координаты: 57.573, 52.3423."
5,fall_love_udm,3,2,0,3,"Гастрономия",0,"Гастрономический автобусный тур по Удмуртии с акцентом на местную кухню и сезонные продукты. Стоимость 38 000 рублей, продолжительность — 72 часа, проходит в помещениях ресторанов и фермерских хозяйств. Подходит для посещения с детьми, питомцы не допускаются. Включает дегустации, мастер-классы по приготовлению удмуртских блюд и посещение продовольственных рынков. Старт: 56.8528, 53.2119; финиш: 56.4666, 53.8001."
6,glazov,2,2,1,1,"История и культура",1,"Исторический пешеходный маршрут по городу Глазов, Удмуртия. Стоимость 500 рублей, длительность — 24 часа, проходит на открытом воздухе. Разрешено посещение с детьми и домашними животными. Маршрут охватывает старинные улицы, архитектурные памятники и места, связанные с историей города. Координаты: 58.1356, 52.6514."
7,glazov_town_museum,2,1,0,2,"История и культура",0,"Культурный автобусный маршрут с посещением городского музея Глазова, расположенного в Ижевске. Стоимость 5 500 рублей, длительность — 24 часа, проводится в помещении. Не предназначен для посещения с детьми и питомцами. Включает экскурсию по экспозициям музея, лекции по истории и культуре Удмуртии, доступ к архивным материалам. Координаты: 56.5059, 53.1216."
8,help_in_sep,3,3,1,1,"Волонтёрство",1,"Волонтёрский автомобильный маршрут для участия в экологических и социальных акциях в сентябре. Бесплатный, продолжительность — 48 часов, проходит на открытом воздухе. Разрешено участие с домашними животными, но не с детьми. Подходит для тех, кто хочет внести вклад в развитие региона, участвуя в посадках, уборке территорий или помощи нуждающимся. Координаты: 57.484, 53.3742."
9,idnakar,2,2,1,1,"История и культура",0,"Археологический пешеходный маршрут к городищу Иднакар в Глазове, Удмуртия. Стоимость 100 рублей, длительность — 24 часа, проходит на открытом воздухе. Разрешено посещение с детьми, питомцы не допускаются. Маршрут знакомит с древней историей удмуртского народа, археологическими раскопками и реконструкциями быта предков. Координаты: 58.1553, 52.6323."
10,izhik,2,2,0,1,"История и культура",1,"Культурный пешеходный маршрут по Ижевску, посвящённый современному искусству и городской среде. Бесплатный, длительность — 24 часа, проходит на открытом воздухе. Разрешено посещение с детьми и домашними животными. Включает стрит-арт локации, независимые галереи, культурные центры и места встреч местных сообществ. Координаты: 56.5059, 53.1216."
11,ludorvai,2,3,1,1,"История и культура",1,"Этнографический автомобильный маршрут в музей-заповедник «Лудорвай» под Ижевском. Стоимость 250 рублей, длительность — 24 часа, проходит на открытом воздухе. Разрешено посещение с детьми и домашними животными. Знакомит с традиционной удмуртской архитектурой, ремёслами, фольклором и национальной кухней. Координаты: 56.8226, 53.3683."
12,mob_ecocenter,2,2,1,1,"Волонтёрство",1,"Волонтёрский пешеходный маршрут к мобильному экоцентру в посёлке Игра, Удмуртия. Бесплатный, длительность — 24 часа, проходит на открытом воздухе. Разрешено участие с домашними животными, но не с детьми. Предлагает участие в эко-акциях, сортировке отходов, образовательных лекциях по устойчивому развитию. Координаты: 57.573, 52.3423."
13,nechkino,2,2,1,1,"Природа и активный отдых",1,"Экологический пешеходный маршрут в районе Нечкино, Сарапул, Удмуртия. Стоимость 250 рублей, длительность — 24 часа, проходит на природе. Разрешено посещение с детьми и домашними животными. Маршрут включает прогулки по заповедным зонам, наблюдение за птицами, изучение местных экосистем и фотосъёмку пейзажей. Координаты: 56.6858, 53.7869."
14,parfume_museum,2,1,0,2,"История и культура",0,"Маршрут к музею парфюмерии в Сарапуле, Удмуртия, категория «красота». Стоимость 2 900 рублей, длительность — 24 часа, проводится в помещении. Не предназначен для посещения с детьми и питомцами. Включает экскурсию по истории парфюмерии, дегустацию ароматов, мастер-классы по созданию духов и уход за кожей. Координаты: 56.4666, 53.8001."
15,pelmen_thour,2,2,0,2,"Гастрономия",0,"Гастрономический автобусный тур «Пельменный тур» по Удмуртии с акцентом на традиционные пельмени и местную кухню. Стоимость 4 900 рублей, длительность — 24 часа, проходит в помещениях ресторанов и производств. Подходит для посещения с детьми, питомцы не допускаются. Включает посещение пельменных цехов, дегустации, мастер-классы по лепке и истории блюда. Старт: 56.8528, 53.2119; финиш: 57.5564, 53.0691."
16,plant_forest,2,3,1,1,"Волонтёрство",0,"Волонтёрский пешеходный маршрут для участия в акции по посадке леса. Бесплатный, длительность — 24 часа, проходит на открытом воздухе. Не предназначен для посещения с детьми и питомцами. Подходит для эко-активистов, желающих внести вклад в восстановление лесных массивов Удмуртии и изучение лесных экосистем. Координаты: 56.6858, 53.7869."
17,sarapul,2,2,1,1,"История и культура",1,"Исторический автобусный маршрут по городу Сарапул, Удмуртия. Стоимость 200 рублей, длительность — 24 часа, проходит на открытом воздухе. Разрешено посещение с детьми и домашними животными. Охватывает старинные купеческие дома, музеи, набережную Камы и места, связанные с историей города. Координаты: 56.4666, 53.8001."
18,tasty_udm,3,2,0,3,"Гастрономия",0,"Гастрономический автобусный тур по Ижевску с акцентом на локальные рестораны и пищевые традиции Удмуртии. Стоимость 32 500 рублей, продолжительность — 72 часа, проходит в помещениях. Подходит для посещения с детьми, питомцы не допускаются. Включает дегустации национальных блюд, посещение ферм, кулинарные мастер-классы и встречи с шеф-поварами. Координаты: 56.5059, 53.1216."
19,votkinsk_ecowalk,2,2,1,1,"Природа и активный отдых",1,"Экологический пешеходный маршрут в Воткинске, Удмуртия. Бесплатный, длительность — 24 часа, проходит на открытом воздухе. Разрешено посещение с детьми и домашними животными. Знакомит с природными достопримечательностями района, экологическими тропами и местами для наблюдения за птицами и растениями. Координаты: 57.0495, 54.0495."
20,weekend_in_igra,3,3,1,2,"История и культура",1,"Исторический автомобильный маршрут «Выходные в Игре» по Удмуртии. Стоимость 2 900 рублей, продолжительность — 48 часов, проходит на открытом воздухе. Разрешено посещение с детьми и домашними животными. Включает посещение исторических усадеб, музеев под открытым небом, местных ремесленных мастерских и природных локаций. Старт: 56.8528, 53.2119; финиш: 57.5564, 53.0691."